2015-06-17 17:27:56,068 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:27:56,069 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE `django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe',)
2015-06-17 17:27:56,138 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.066) DELETE FROM `django_session` WHERE `django_session`.`session_key` IN ('knb7zgqfk5rlneb6h3yymifezc4qnhhe'); args=(u'knb7zgqfk5rlneb6h3yymifezc4qnhhe',)
2015-06-17 17:27:56,164 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5' LIMIT 1; args=(u'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5',)
2015-06-17 17:27:56,256 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.086) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('ricyk1beb9jxz0m84cuqmb2mpvm0dvy5', 'ZmYwNjAwZjBjMzBkNDZjNWU2YmQ5NjYxYjA3MGNjODlhY2U3MmRkYzp7fQ==', '2015-07-01 09:27:56'); args=(u'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5', u'ZmYwNjAwZjBjMzBkNDZjNWU2YmQ5NjYxYjA3MGNjODlhY2U3MmRkYzp7fQ==', u'2015-07-01 09:27:56')
2015-06-17 17:27:56,266 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) UPDATE `django_session` SET `session_data` = 'ZmYwNjAwZjBjMzBkNDZjNWU2YmQ5NjYxYjA3MGNjODlhY2U3MmRkYzp7fQ==', `expire_date` = '2015-07-01 09:27:56' WHERE `django_session`.`session_key` = 'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5'; args=(u'ZmYwNjAwZjBjMzBkNDZjNWU2YmQ5NjYxYjA3MGNjODlhY2U3MmRkYzp7fQ==', u'2015-07-01 09:27:56', u'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5')
2015-06-17 17:27:58,634 [Thread-77:2148] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:27:58,638 [Thread-77:2148] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:27:58,644 [Thread-77:2148] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5' AND `django_session`.`expire_date` > '2015-06-17 09:27:58') LIMIT 21; args=('ricyk1beb9jxz0m84cuqmb2mpvm0dvy5', u'2015-06-17 09:27:58')
2015-06-17 17:27:58,650 [Thread-77:2148] [django.db.backends:91] [utils:execute] [DEBUG]- (0.003) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs`; args=()
2015-06-17 17:28:02,105 [Thread-84:1248] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:28:02,108 [Thread-84:1248] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
